0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.155,0.16,0.243,0.258,0.278,0.156,0.172,0.246,0.257,0.26,0.193,0.329,0.282,0.27,0.173,0.151,0.164,0.204,0.3,0.18,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,afib
0.44,0.264,0.175,0.337,0.37,0.258,0.38,0.42,0.254,0.216,0.31,0.374,0.217,0.348,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,afib
0.18,0.504,0.388,0.36,0.394,0.382,0.34,0.447,0.411,0.532,0.457,0.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,afib
0.18,0.349,0.352,0.575,0.272,0.317,0.364,0.481,0.332,0.368,0.4,0.446,0.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,afib
0.152,0.428,0.346,0.524,0.293,0.378,0.303,0.242,0.386,0.352,0.427,0.324,0.358,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,afib
0.25,0.155,0.269,0.399,0.317,0.338,0.276,0.192,0.154,0.203,0.222,0.273,0.195,0.214,0.293,0.296,0.186,0.231,0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,afib
0.372,0.313,0.292,0.37,0.33,0.454,0.224,0.482,0.246,0.414,0.281,0.343,0.279,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,afib
0.309,0.218,0.326,0.277,0.346,0.248,0.273,0.2,0.183,0.354,0.267,0.187,0.238,0.262,0.234,0.368,0.224,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,afib
0.157,0.28,0.22,0.334,0.439,0.408,0.261,0.362,0.422,0.263,0.182,0.254,0.355,0.356,0.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,afib
0.16,0.167,0.294,0.29,0.359,0.502,0.642,0.227,0.423,0.398,0.414,0.24,0.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,afib
